kit_id,transect_location,latitude,longitude,elevation_m,collection_time_utc,macrophytes_algae,systemtype,volume_ml,notes,soil_type,rotten_egg_smell,color,soil_horizon,ecosystem_code_IGBP,elevation_flag
K001,water,41.6228,-83.2362,175,06:00:00,None,"Estuary, Lacestuary",500,Winter no vegetation. Upland site located in different area,NA,NA,NA,NA,NA,NA
K001,sediment,41.6228,-83.2362,175,08:00:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",No,Dark Chocolate,NA,NA,NA
K001,wetland,41.62182,-83.23883,175,06:00:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K001,transition,41.62186,-83.23813,175,05:30:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K001,upland,41.61511,-83.22979,175,05:00:00,NA,NA,NA,NA,"Nappanee silty clay loam, 0 to 3 percent slopes (NpA)",NA,NA,Mineral,4,NA
K004,water,41.502,-83.0435,174.76,19:00:00,"Macrophytes, Algae",Tidal River,NA,Water color description: ? Check copy of form,NA,NA,NA,NA,NA,NA
K004,sediment,41.502,-83.0435,174.76,19:30:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",No,"Black, Grey, Reddish",NA,NA,NA
K004,wetland,41.5018,-83.0443,174.83,18:20:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,Organic,NA,NA
K004,transition,41.5018,-83.0456,175.08,17:40:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes (To)",NA,NA,Organic,NA,NA
K004,upland,41.5015,-83.0462,175.71,17:00:00,NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes (To)",NA,NA,Mineral,NA,NA
K007,water,41.3771,-82.5102,173,09:00:00,Algae,"Estuary, Lacestuary",500,NA,NA,NA,NA,NA,NA,NA
K007,sediment,41.3771,-82.5102,173,09:00:00,NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Yes,Black,NA,NA,NA
K007,wetland,41.3759,-82.50713,175,08:00:00,NA,NA,NA,NA,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",NA,NA,Organic,NA,NA
