kit_id,wetland_soil_type,wt_Soil type,wt_Depth range (cm),wt_Horizon designation,wt_Simple Horizon designation,wt_Percent clay,wt_Percent sand,wt_AWC (cm/cm),wt_Organic matter (%),wt_pH (1:1 H2O),wetland_soil_horizon,transition_soil_type,tr_Soil type,tr_Depth range (cm),tr_Horizon designation,tr_Simple Horizon designation,tr_Percent clay,tr_Percent sand,tr_AWC (cm/cm),tr_Organic matter (%),tr_pH (1:1 H2O),transition_soil_horizon,upland_soil_type,up_Soil type,up_Depth range (cm),up_Horizon designation,up_Simple Horizon designation,up_Percent clay,up_Percent sand,up_AWC (cm/cm),up_Organic matter (%),up_pH (1:1 H2O),upland_soil_horizon
K004,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Tp,23,Ap,A,50,4,0,5.01,6.1,Organic,"Toledo silty clay, 0 to 1 percent slopes (To)",To,23,Ap,A,49,5,0.13,4.34,6.4,Organic,"Toledo silty clay, 0 to 1 percent slopes (To)",To,23,Ap,A,49,5,0.13,4.34,6.4,Mineral
K008,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic
K009,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic,"Zurich silt loam, 12 to 18 percent slopes, eroded (ZuD2)",ZuD2,23,H1,H,23.5,9.4,0.23,1.25,6.2,Organic
K010,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic,"Zurich silt loam, 18 to 25 percent slopes, eroded (ZuE2)",ZuE2,13,H1,H,23.5,9.4,0.23,1.25,6.2,Organic,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",FnA,,,,,,,,,Organic
K011,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",HoA,20,H1,H,21,26.3,0.22,3.5,6.5,Organic,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",ZuF,15,H1,H,23.5,9.4,0.23,2,6.7,Organic,NA,NA,,,,,,,,,Organic
K012,"Aquents, ponded (75)",75,15,A,A,5,93.6,0.08,4,7.5,Organic,NA,75,15,A,A,5,93.6,0.08,4,7.5,NA,NA,NA,,,,,,,,,NA
K013,Brevort loamy sand (Bn),Bn,13,H1,H,8.5,82.5,0.1,6,6.7,Organic,Brevort loamy sand (Bn),Bn,13,H1,H,8.5,82.5,0.1,6,6.7,Organic,Brevort loamy sand (Bn),Bn,13,H1,H,8.5,82.5,0.1,6,6.7,Organic
K014,NA,NA,,,,,,,,,NA,NA,NA,,,,,,,,,NA,NA,NA,,,,,,,,,NA
K015,Bohicket muck (6),6,15,Oa,O,,,0.04,40,7.3,Organic,Bohicket muck (6),6,15,Oa,O,,,0.04,40,7.3,Organic,Bohicket muck (6),6,15,Oa,O,,,0.04,40,7.3,Organic
K016,"Sulfaquents, frequently flooded (30)",30,51,H1,H,33.5,15,0.22,17.5,7.3,Organic,Johns sandy loam (10),10,20,H1,H,10,66.9,0.13,1.25,5,Mineral,Johns sandy loam (10),10,20,H1,H,10,66.9,0.13,1.25,5,Organic
